[8/20/22 01:16PM] Adam used command ::find owner | Player rights = DEVELOPER	
[8/22/22 12:20AM] Adam used command ::gamble | Player rights = PLAYER	
[8/22/22 12:20AM] Adam used command ::rule | Player rights = PLAYER	
[8/22/22 12:20AM] Adam used command ::updates | Player rights = PLAYER	
[8/22/22 12:21AM] Adam used command ::empty | Player rights = PLAYER	
[8/22/22 12:23AM] Adam used command ::empty | Player rights = PLAYER	
[8/22/22 12:24AM] Adam used command ::empty | Player rights = PLAYER	
[8/22/22 12:24AM] Adam used command ::ref | Player rights = PLAYER	
[8/22/22 12:25AM] Adam used command ::train | Player rights = PLAYER	
[8/22/22 12:25AM] Adam used command ::starter | Player rights = PLAYER	
[8/22/22 12:25AM] Adam used command ::train 2 | Player rights = PLAYER	
[8/22/22 12:25AM] Adam used command ::train 3 | Player rights = PLAYER	
[8/22/22 12:25AM] Adam used command ::train 2 | Player rights = PLAYER	
[8/22/22 12:28AM] Adam used command ::rewards | Player rights = DEVELOPER	
